"ID","Player","Color","Move","Eval","isInnovation","Advantage","Result","Comment"
6,"Carlsen, Magnus","W","1. Nf3 ","0.22",0,"W","1-0",NA
6,"Rapport, Richard","B","1... d5 ","0.09",0,"W","1-0",NA
6,"Carlsen, Magnus","W","2. d4 ","0.28",0,"W","1-0",NA
6,"Rapport, Richard","B","2... Nf6 ","0.09",0,"W","1-0",NA
6,"Carlsen, Magnus","W","3. c4 ","0.16",0,"W","1-0",NA
6,"Rapport, Richard","B","3... e6 ","0.22",0,"W","1-0",NA
6,"Carlsen, Magnus","W","4. g3 ","0.18",0,"W","1-0",NA
6,"Rapport, Richard","B","4... dxc4 ","0.36",0,"W","1-0",NA
6,"Carlsen, Magnus","W","5. Bg2 ","0.14",0,"W","1-0",NA
6,"Rapport, Richard","B","5... Nc6 ","0.3",0,"W","1-0",NA
6,"Carlsen, Magnus","W","6. O-O ","0.0",0,"W","1-0",NA
6,"Rapport, Richard","B","6... Rb8 ","0.2",0,"W","1-0",NA
6,"Carlsen, Magnus","W","7. Be3 ","0.0",0,"W","1-0",NA
6,"Rapport, Richard","B","7... Bd6 ","0.41",0,"W","1-0",NA
6,"Carlsen, Magnus","W","8. Qc1 ","0.4",0,"W","1-0",NA
6,"Rapport, Richard","B","8... b5 ","0.22",0,"W","1-0",NA
6,"Carlsen, Magnus","W","9. b3 ","0.25",0,"W","1-0",NA
6,"Rapport, Richard","B","9... Bb7 ","0.44",0,"W","1-0",NA
6,"Carlsen, Magnus","W","10. bxc4 ","0.27",0,"W","1-0",NA
6,"Rapport, Richard","B","10... bxc4 ","0.54",0,"W","1-0",NA
6,"Carlsen, Magnus","W","11. Qxc4 ","0.25",0,"W","1-0",NA
6,"Rapport, Richard","B","11... Nb4 ","0.24",0,"W","1-0",NA
6,"Carlsen, Magnus","W","12. a3 ","0.22",0,"W","1-0",NA
6,"Rapport, Richard","B","12... Nbd5 ","0.2",0,"W","1-0",NA
6,"Carlsen, Magnus","W","13. Bg5 ","0.19",0,"W","1-0",NA
6,"Rapport, Richard","B","13... O-O ","0.42",0,"W","1-0",NA
6,"Carlsen, Magnus","W","14. Nbd2 ","0.21",0,"W","1-0",NA
6,"Rapport, Richard","B","14... h6 ","0.19",0,"W","1-0",NA
6,"Carlsen, Magnus","W","15. Bxf6 ","0.17",0,"W","1-0",NA
6,"Rapport, Richard","B","15... Nxf6 ","0.12",0,"W","1-0",NA
