"","ID","Player","Color","Move","Eval","isInnovation","Advantage","Result","Comment"
"1",5,"Grandelius, Nils","W","1. e4 ","0.25",0,"W","1/2-1/2",NA
"2",5,"Carlsen, Magnus","B","1... c5 ","0.32",0,"W","1/2-1/2",NA
"3",5,"Grandelius, Nils","W","2. Nf3 ","0.0",0,"W","1/2-1/2",NA
"4",5,"Carlsen, Magnus","B","2... Nc6 ","0.0",0,"W","1/2-1/2",NA
"5",5,"Grandelius, Nils","W","3. d4 ","0.32",0,"W","1/2-1/2",NA
"6",5,"Carlsen, Magnus","B","3... cxd4 ","0.38",0,"W","1/2-1/2",NA
"7",5,"Grandelius, Nils","W","4. Nxd4 ","0.29",0,"W","1/2-1/2",NA
"8",5,"Carlsen, Magnus","B","4... e6 ","0.28",0,"W","1/2-1/2",NA
"9",5,"Grandelius, Nils","W","5. Nc3 ","0.33",0,"W","1/2-1/2",NA
"10",5,"Carlsen, Magnus","B","5... Qc7 ","0.41",0,"W","1/2-1/2",NA
"11",5,"Grandelius, Nils","W","6. Be3 ","0.33",0,"W","1/2-1/2",NA
"12",5,"Carlsen, Magnus","B","6... a6 ","0.57",0,"W","1/2-1/2",NA
"13",5,"Grandelius, Nils","W","7. g4 ","0.39",0,"W","1/2-1/2",NA
"14",5,"Carlsen, Magnus","B","7... Nxd4 ","0.6",0,"W","1/2-1/2",NA
"15",5,"Grandelius, Nils","W","8. Qxd4 ","0.54",0,"W","1/2-1/2",NA
"16",5,"Carlsen, Magnus","B","8... b5 ","0.55",0,"W","1/2-1/2",NA
"17",5,"Grandelius, Nils","W","9. O-O-O ","0.45",0,"W","1/2-1/2",NA
"18",5,"Carlsen, Magnus","B","9... Bb7 ","0.88",0,"W","1/2-1/2",NA
"19",5,"Grandelius, Nils","W","10. f3 ","0.77",0,"W","1/2-1/2",NA
"20",5,"Carlsen, Magnus","B","10... Rc8 ","0.4",0,"W","1/2-1/2",NA
"21",5,"Grandelius, Nils","W","11. Qd2 ","0.74",0,"W","1/2-1/2",NA
"22",5,"Carlsen, Magnus","B","11... Bb4 ","0.57",0,"W","1/2-1/2",NA
"23",5,"Grandelius, Nils","W","12. Bd4 ","0.83",0,"W","1/2-1/2",NA
"24",5,"Carlsen, Magnus","B","12... f6 ","0.79",0,"W","1/2-1/2",NA
"25",5,"Grandelius, Nils","W","13. g5 ","0.77",0,"W","1/2-1/2",NA
"26",5,"Carlsen, Magnus","B","13... h6 ","0.38",0,"W","1/2-1/2",NA
"27",5,"Grandelius, Nils","W","14. gxh6 ","0.6",0,"W","1/2-1/2",NA
"28",5,"Carlsen, Magnus","B","14... Nxh6 ","0.59",0,"W","1/2-1/2",NA
"29",5,"Grandelius, Nils","W","15. a3 ","0.49",0,"W","1/2-1/2",NA
"30",5,"Carlsen, Magnus","B","15... Bxa3 ","0.68",0,"W","1/2-1/2",NA
"31",5,"Grandelius, Nils","W","16. bxa3 ","0.88",0,"W","1/2-1/2",NA
"32",5,"Carlsen, Magnus","B","16... e5 ","0.5",0,"W","1/2-1/2",NA
"33",5,"Grandelius, Nils","W","17. Nxb5 ","0.69",0,"W","1/2-1/2",NA
"34",5,"Carlsen, Magnus","B","17... axb5 ","0.3",0,"W","1/2-1/2",NA
"35",5,"Grandelius, Nils","W","18. Bb2 ","0.53",0,"W","1/2-1/2",NA
"36",5,"Carlsen, Magnus","B","18... d5? ","1.75",0,"W","1/2-1/2"," Mistake. Nf7 was best. } (18... Nf7 19. h4 d5 20. Bxb5+ Kf8 21. Ba4 d4 22. Bb3 Nd6 23. h5 Rh6 24. Kb1 Ba6 25. f4)"
"37",5,"Grandelius, Nils","W","19. Bxb5+ ","1.59",0,"W","1/2-1/2",NA
"38",5,"Carlsen, Magnus","B","19... Kf8 ","1.62",0,"W","1/2-1/2",NA
"39",5,"Grandelius, Nils","W","20. Ba4?! ","0.57",0,"W","1/2-1/2"," Inaccuracy. Qb4+ was best. } (20. Qb4+ Kg8)"
"40",5,"Carlsen, Magnus","B","20... d4 ","0.45",0,"W","1/2-1/2",NA
"41",5,"Grandelius, Nils","W","21. Bb3 ","0.57",0,"W","1/2-1/2",NA
"42",5,"Carlsen, Magnus","B","21... Nf7 ","0.54",0,"W","1/2-1/2",NA
"43",5,"Grandelius, Nils","W","22. Qb4+? ","-0.65",0,"B","1/2-1/2"," Mistake. h4 was best. } (22. h4 Ba6 23. f4 Bc4 24. Kb1 exf4 25. Qxd4 Rh5 26. Rh3 Ne5 27. Qd2 f3 28. Bxe5 Rxe5)"
"44",5,"Carlsen, Magnus","B","22... Kg8 ","-0.65",0,"B","1/2-1/2",NA
"45",5,"Grandelius, Nils","W","23. Rd2 ","-0.94",0,"B","1/2-1/2",NA
"46",5,"Carlsen, Magnus","B","23... Ba6 ","-1.02",0,"B","1/2-1/2",NA
"47",5,"Grandelius, Nils","W","24. f4 ","-0.86",0,"B","1/2-1/2",NA
"48",5,"Carlsen, Magnus","B","24... Rb8 ","-0.88",0,"B","1/2-1/2",NA
"49",5,"Grandelius, Nils","W","25. Qa4 ","-0.97",0,"B","1/2-1/2",NA
"50",5,"Carlsen, Magnus","B","25... Bb5 ","-0.89",0,"B","1/2-1/2",NA
"51",5,"Grandelius, Nils","W","26. Qb4 ","-1.16",0,"B","1/2-1/2",NA
"52",5,"Carlsen, Magnus","B","26... Ba6 ","-0.84",0,"B","1/2-1/2",NA
"53",5,"Grandelius, Nils","W","27. Qa4 ","-0.7",0,"B","1/2-1/2",NA
